name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
Religious Awareness Network,Anti-Muslim,anti-muslim,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"38.9, -77.03"
War On The Horizon,Black Separatist,black-separatist,Washington,District of Columbia,FALSE,TRUE,,38.837233,-77.016143,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.837233, -77.016143"
Center for Family and Human Rights (C-FAM),Anti-LGBT,anti-lgbt,Washington,District of Columbia,FALSE,FALSE,,38.908078,-77.040614,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"38.908078, -77.040614"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Washington,District of Columbia,FALSE,FALSE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.9, -77.03"
Israel United In Christ,Black Separatist,black-separatist,Washington,District of Columbia,FALSE,FALSE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.9, -77.03"
Active Democracy,General Hate,other,Washington,District of Columbia,FALSE,TRUE,,38.93,-76.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"38.93, -76.99"
Center for Security Policy,Anti-Muslim,anti-muslim,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"38.9, -77.03"
Clarion Project,Anti-Muslim,anti-muslim,Washington,District of Columbia,FALSE,TRUE,,38.89,-77.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"38.89, -77.04"
Center for Immigration Studies,Anti-Immigrant,anti-immigrant,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"38.9, -77.03"
Family Security Matters,Anti-Muslim,anti-muslim,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"38.9, -77.04"
Immigration Reform Law Institute,Anti-Immigrant,anti-immigrant,Washington,District of Columbia,FALSE,TRUE,,38.89,-77.01,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"38.89, -77.01"
Phalanx,White Nationalist,white-nationalist,Washington,District of Columbia,FALSE,TRUE,,38.9,-77.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"38.9, -77.03"
Stormfront,White Nationalist,white-nationalist,West Palm Beach,Florida,FALSE,TRUE,Stormfront,26.665499,-80.05908,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/stormfront,"26.665499, -80.05908"
Nation of Islam,Black Separatist,black-separatist,Miami,Florida,FALSE,FALSE,Nation of Islam,25.82,-80.2,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"25.82, -80.2"
Nation of Islam,Black Separatist,black-separatist,Fort Lauderdale,Florida,FALSE,FALSE,Nation of Islam,26.12,-80.16,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"26.12, -80.16"
Confederate Hammerskins,Racist Skinhead,racist-skinhead,,Florida,TRUE,FALSE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"27.66, -81.51"
Nation of Islam,Black Separatist,black-separatist,Pensacola,Florida,FALSE,FALSE,Nation of Islam,30.431374,-87.246235,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"30.431374, -87.246235"
Nation of Islam,Black Separatist,black-separatist,Tampa,Florida,FALSE,FALSE,Nation of Islam,27.95,-82.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"27.95, -82.45"
League of the South,Neo-Confederate,neo-confederate,Jacksonville,Florida,FALSE,FALSE,League of the South,30.312149,-81.737552,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"30.312149, -81.737552"
Vinlanders Social Club,Racist Skinhead,racist-skinhead,,Florida,TRUE,FALSE,Vinlanders Social Club,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,https://www.splcenter.org/fighting-hate/extremist-files/group/vinlanders-social-club,"27.66, -81.51"
New Black Panther Party,Black Separatist,black-separatist,Jacksonville,Florida,FALSE,FALSE,New Black Panther Party,30.33,-81.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"30.33, -81.65"
Nation of Islam,Black Separatist,black-separatist,Saint Petersburg,Florida,FALSE,FALSE,Nation of Islam,27.75,-82.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"27.75, -82.65"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Fort Myers,Florida,FALSE,FALSE,,26.64,-81.87,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"26.64, -81.87"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Miami,Florida,FALSE,FALSE,,25.76,-80.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"25.76, -80.19"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Orlando,Florida,FALSE,FALSE,,28.53,-81.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"28.53, -81.37"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,West Palm Beach,Florida,FALSE,FALSE,,26.71,-80.05,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"26.71, -80.05"
Crew 38,Racist Skinhead,racist-skinhead,,Florida,TRUE,FALSE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"27.66, -81.51"
